id,question,answer_1,answer_2,answer_3,solution
1011,Quale distanza minima occorre mantenere dalle nubi?,1000 m.,Non esiste regola precisa.,È necessario comunque mantenersi fuori dalle nubi e in contatto con il suolo o con la superficie acquea sottostante.,3
1012,È consentito volare in nube con deltaplano e parapendio?,"No, perché non è garantita la separazione da eventuali ostacoli, dal terreno e da altri mezzi e poiché il disorientamento comporta la possibile perdita del controllo di assetto e velocità.","No, perché non è garantita la separazione da eventuali ostacoli e dal terreno, sebbene sia possibile condurre tali mezzi in condizioni di volo strumentale anche senza l’ausilio di strumenti, data la semplicità di pilotaggio.","Sì, sempre che la nube in questione non si estenda sino ad aderire al pendio o comunque al terreno, nel qual caso non sarebbe garantita la sicurezza del volo.",1
1013,"Le tabelle chiamate effemeridi, sulle quali si possono trovare tutti i dati concernenti le posizioni in cielo delle stelle e dei pianeti durante l’anno, possono essere utili a chi pratica il Volo Libero perché:",può essere utile condurre una navigazione stellare in certe condizioni.,può essere utile conoscere con esattezza l’altezza del sole sull’orizzonte a una certa ora e in un certo giorno dell’anno per stabilire la propria posizione.,è indispensabile sapere l’orario del sorgere e del tramontare del sole in ogni giorno dell’anno poiché il Volo Libero si può praticare solo da 30 minuti prima dell’alba a 30 minuti dopo il tramonto.,3
1014,E’ possibile svolgere attività di volo libero a meno di 4 km dai confini di Stato?,No.,Si.,Dipende dalle leggi vigenti nei Paesi confinanti.,2
1015,Deltaplano e parapendio come sono classificati?,Sono alianti.,Sono apparecchi per il volo da diporto e sportivo.,Sono aerostati.,2
1016,Che cosa s’intende per spazio aereo controllato?,Una porzione di spazio aereo nazionale all’interno della quale tutto il traffico è controllato da apparecchiature radar.,Una porzione di spazio aereo nazionale all’interno della quale tutto il traffico di aeromobili è controllato da apparecchiature radar militari.,Una porzione di spazio aereo nazionale all’interno della quale si svolge attività di volo di aeromobili sotto la giurisdizione degli Enti di Controllo del traffico aereo civili e militari.,3
1017,La Legge italiana stabilisce che:,all’interno degli spazi aerei controllati si svolga normalmente solo attività di volo di aeromobili esclusi gli apparecchi VDS/VL se non preventivamente autorizzati.,all’interno degli spazi aerei controllati si svolga normalmente attività di volo di aeromobili civili e/o militari e di apparecchi VDS/VL.,all’interno degli spazi aerei controllati si svolga sempre attività di volo di aeromobili civili e/o militari e nei giorni festivi anche attività di volo di apparecchi VDS/VL.,1
1018,È consentito l’impegno degli spazi aerei controllati da parte degli apparecchi VDS/VL?,Solo se preventivamente autorizzati.,"Si, se esistono condizioni di volo a vista (Visual Flight Rules).","No, indipendentemente dalle condizioni esistenti.",1
1019,Praticando il Volo Libero a quale distanza è opportuno tenersi dagli aeroporti non situati all’interno di un ATZ?,Ad almeno 5 km.,Ad almeno 1 km.,Ad almeno 5 km e a una quota non inferiore a 500 m.,1
1020,Che cosa è una ATZ?,Uno spazio aereo controllato situato intorno e sopra ad un aeroporto.,Un’area destinata all’attesa degli aeromobili civili e/o militari prima dell’atterraggio sull’aeroporto di destinazione.,Una zona aeroportuale di smistamento a terra del traffico di aeromobili civili e/o militari.,1
1021,E’ consentito effettuare attività di volo libero in un’ATZ?,Si.,"Sì, in assenza di traffico di aeromobili.","No, salvo particolari autorizzazioni rilasciate dal Direttore di Circoscrizione Aeroportuale.",3
1022,Che cosa è un CTR?,Una porzione di spazio aereo controllato all’interno del quale si svolge attività di volo di aeromobili e i mezzi del VDS devono avere preventiva autorizzazione.,"Una porzione di spazio aereo, non necessariamente controllato, all’interno del quale si svolge attività di aeromobili civili e/o militari in arrivo o partenza su uno o più aeroporti.",Una porzione di spazio aereo controllato riservata all’arrivo o partenza di aeromobili militari.,1
1023,E’ possibile volare con deltaplano o parapendio all’interno di un CTR?,Normalmente si.,"Si, nei giorni festivi.","No, salvo autorizzazione.",3
1024,Che cosa è una TMA?,Una porzione di spazio aereo riservata all’ attività di velivoli militari.,Una porzione di spazio aereo controllato.,Una porzione di spazio aereo non controllato.,2
1025,E’ ammesso il VDS/VL all’interno di una TMA?,Solo se autorizzato.,Si.,"Sì, ma in assenza di traffico di aeromobili.",1
1026,Che cosa è una Aerovia o AWY?,Una via di rullaggio a terra su un aeroporto.,"Una porzione di spazio aereo controllato che si estende verso l’alto da un livello posto al disopra della superficie terrestre fino ad un determinato livello superiore, a forma di corridoio.","Una porzione di spazio aereo, non necessariamente controllato, in cui si svolge attività di aeromobili.",2
1027,È ammesso volare in deltaplano o parapendio in un’aerovia o AWY?,No.,"Si, se non c’è traffico.",Si.,1
1028,Che cosa è una zona P “PAPA“?,Una porzione di spazio aereo all’interno della quale è normalmente proibito il volo a tutti gli aeromobili.,Una porzione di spazio aereo all’interno della quale è permesso il volo ai soli parapendio.,Una porzione di spazio aereo all’interno della quale non possono volare i soli velivoli militari.,1
1029,Che cosa è una zona D “DELTA“?,Una porzione di spazio aereo all’interno della quale è permesso volare in deltaplano.,Una porzione di spazio aereo all’interno della quale è pericoloso volare per tutti i tipi di aeromobile.,Una porzione di spazio aereo all’interno della quale è pericoloso volare per alcuni tipi di aeromobili civili.,2
1030,Che cosa è una zona R “ROMEO“?,Una porzione di spazio aereo all’interno della quale il volo è raccomandato per tutti i tipi di aeromobile.,Una porzione di spazio aereo all’interno della quale il volo è vietato.,Una porzione di spazio aereo all’interno della quale il VDS deve essere espressamente autorizzato poiché sono svolte specifiche attività di volo civile o militare.,3
1031,"È possibile normalmente volare con deltaplano e parapendio all’interno delle zone denominate nelle carte aeronautiche con le lettere P, D (“PAPA“, “DELTA“)?",No.,"Si, ma solo nei giorni festivi.",Si.,1
1032,In termica decide il senso di rotazione:,il pilota che per primo entra nella corrente ascensionale stabilisce il senso di rotazione.,il pilota con meno esperienza deve avere la precedenza.,si vira verso destra alla presenza di cumulo e verso sinistra in caso contrario.,1
1033,"Tra un apparecchio per il volo libero ed un apparecchio a motore, chi ha la precedenza in caso di rotte convergenti?","L’apparecchio a motore, in quanto più veloce.","L’apparecchio a motore, in quanto meno manovrabile.",L’apparecchio per il volo libero.,3
1034,Due apparecchi VDS si trovano su rotte convergenti alla stessa quota. Come si devono comportare i rispettivi piloti?,Uno mantiene la quota e l’altro la cambia per evitare la collisione.,"Quello che viene da destra continua diritto, l’altro vira per evitare la collisione.",Entrambi effettuano una virata a destra mantenendo l’altro in vista per evitare la collisione.,3
1035,Due apparecchi per il VDS privi di motore compiono un volo di pendio e rischiano la collisione frontale. Come si comportano i rispettivi piloti?,"Quello con il pendio alla propria sinistra prosegue diritto, l’altro vira a sinistra per evitare la collisione.","Quello con il pendio alla propria destra prosegue diritto, l’altro vira a destra allontanandosi dal pendio per evitare la collisione.","Entrambi possono proseguire diritto, purché tengano conto di un cambio di quota per evitare la collisione.",2
1036,"In caso di precedenza tra un parapendio monoposto, un parapendio biposto e un deltaplano biposto:",ha precedenza il parapendio monoposto.,ha precedenza il deltaplano biposto.,ha precedenza il parapendio biposto.,3
1037,Qual è il criterio generale di precedenza per deltaplani e parapendio in atterraggio?,Dare la precedenza a tutti i deltaplani o parapendio più lenti indipendentemente dalla quota cui si trovano.,L’apparecchio più basso ha la precedenza.,Dare la precedenza a tutti i piloti più esperti.,2
1038,Nel Volo Libero è obbligatoria l’assicurazione RCT del mezzo?,No.,Si.,"Si, ma solo se si vola in luoghi molto frequentati.",1
1039,Il riporto di un’infrazione alla vigente legge che regola l’attività di Volo Libero dovrebbe essere fatto in prima istanza alla Competente Autorità che è:,la Polizia di Stato.,la Direzione Circoscrizionale di Aeroporto.,i Carabinieri.,2
1040,Qual è uno dei requisiti richiesti per l’uso degli apparecchi biposto VDS/VL con passeggero a bordo?,Attestato di pilota in corso di validità e abilitazione al trasporto del passeggero.,Attestato di pilota in corso di validità con esperienza di almeno 30 ore.,"Attestato di pilota in corso di validità, buona esperienza di volo, condizioni meteo favorevoli.",1
2001,Che cosa studia l'aerodinamica?,Le leggi della dinamica dei fluidi.,Le leggi che regolano il moto di corpi solidi immersi in un fluido gassoso.,Lo spostamento delle masse d'aria nell'atmosfera terrestre.,2
2002,Che cosa è un'ala?,È un corpo di forma prestabilita che genera portanza aerodinamica in ogni condizione.,È un corpo di forma appropriata che posto in movimento rispetto all'aria genera forze aerodinamiche.,È un corpo di forma qualsiasi che genera solo portanza quando posto in movimento rispetto all'aria.,2
2003,"Che cosa s’intende per ""profilo alare""?",La proiezione dell'ala sul piano orizzontale.,La proiezione dell'ala sul piano verticale passante per le estremità alari.,"La sezione di un'ala, determinata su un piano perpendicolare all'asse trasversale.",3
2004,Quali sono i più comuni tipi di profilo alare utilizzati nel VDS/VL?,Piano convesso ed ellittico simmetrico.,Cavo convesso e biconvesso simmetrico.,"Concavo convesso, piano convesso e biconvesso.",3
2005,Che cosa s’intende rispettivamente per bordo d'attacco e per bordo d'uscita di un'ala?,La parte dell'ala che si attacca alla fusoliera e l'estremità alare.,Il bordo esterno ed interno dell'ala.,Il bordo anteriore ed il bordo posteriore di un'ala.,3
2006,Che cosa è la corda alare o aerodinamica?,È il segmento di retta che unisce il bordo d'attacco al bordo d'uscita del profilo alare.,È il segmento di retta che identifica il piano di simmetria dell'ala.,È la distanza tra le due estremità alari.,1
2007,Che cosa s’intende rispettivamente per estradosso e intradosso di un'ala?,La superficie inferiore e la superficie superiore dell'ala stessa.,La superficie superiore ed inferiore dell'ala stessa.,La superficie interna ed esterna dell'ala stessa.,2
2008,Che cosa s’intende per apertura alare?,La distanza tra le due estremità alari.,La distanza tra bordo d'attacco e bordo d'uscita del profilo alare.,La massima distanza tra estradosso ed intradosso dell'ala.,1
2009,Che cosa s’intende per allungamento di un'ala?,È la distanza tra le estremità alari.,È il rapporto tra superficie alare e apertura alare.,È il rapporto tra il quadrato dell'apertura alare e la superficie dell'ala.,3
2010,Quant'è l'allungamento di un'ala di 25 m2 di superficie dotata di un'apertura alare di 10 m?,4 (quattro).,2.5 (due virgola cinque).,6.25 (sei virgola venticinque).,1
2011,Quali sono gli assi attorno ai quali si muove un'ala?,Quello longitudinale e quello verticale.,"Quello longitudinale, quello trasversale e quello verticale.",Quello longitudinale e quello trasversale.,2
2012,Come si chiama il movimento di un'ala rispetto al suo asse longitudinale?,Rollio.,Imbardata.,Beccheggio.,1
2013,Come si chiama il movimento di un'ala rispetto al suo asse trasversale?,Rollio.,Imbardata.,Beccheggio.,3
2014,Come si chiama il movimento di un'ala rispetto al suo asse verticale?,Rollio.,Imbardata.,Beccheggio.,2
2015,"L'ala può essere considerata una ""macchina""?","No, perché priva di particolari meccanismi.",Solo se dotata di superfici mobili.,"Si, perché trasforma un tipo di energia in energia di tipo diverso.",3
2016,Il movimento di un'ala:,"perturba l'aria circostante all'interno del così detto ""tubo di flusso"".",non disturba l'aria circostante.,"perturba l'aria circostante, ma solo al di fuori di un ""tubo di flusso"".",1
2017,"Per quale motivo parlando di aerodinamica è necessario fare riferimento al ""tubo di flusso""?",Perché si usa fare così in fisica.,Perché gli esperimenti in galleria del vento sono effettuati in un locale a forma di tubo.,"Perché le leggi dell'aerodinamica che regolano il volo valgono all'interno appunto di un tubo ideale detto ""tubo di flusso"".",3
2018,"Che cosa è un ""tubo di flusso""?",La porzione di aria perturbata dal passaggio di un'ala.,Un congegno per la misura della velocità di un’ala.,La zona interessata dalla sola scia di un'ala in movimento.,1
2019,"All'interno di un ""tubo di flusso"":",la presenza di un solido perturba comunque il flusso del fluido.,la presenza di un solido opportunamente profilato non disturba il flusso di un fluido.,la presenza di un solido determina necessariamente una variazione di portata.,1
2020,Un profilo investito da aria in movimento determina gli stessi effetti aerodinamici di un profilo che si muove nell’aria?,"No, indipendentemente dalla velocità e direzione del movimento relativo.","Si, ma solo se coincidono velocità e direzione del movimento relativo.",Dipende solamente dalla forma del corpo solido.,2
2021,Che cosa è il vento relativo?,La differenza di velocità dell'aria che si riscontra sulle due semiali in virata.,Il vento incontrato dall'ala in quanto in movimento o il movimento relativo dell'aria rispetto all'ala.,La differenza di velocità dell'aria su estradosso ed intradosso dell'ala in volo.,2
2022,La velocità di cui è dotata un'ala e le forze a essa applicate quando vola sono:,"grandezze fisiche rappresentabili con vettori (con direzione, verso, intensità e punto d’applicazione definiti) che si possono comporre o scomporre tra loro.",grandezze fisiche che non si possono rappresentare graficamente ma che possono sommarsi e sottrarsi geometricamente.,grandezze numeriche semplici con le quali è quindi possibile effettuare qualsiasi operazione.,1
2023,Quando si parla di pressione di un fluido su una superficie che cosa s’intende?,È il prodotto della superficie per la forza che il fluido esercita sulla stessa.,È il rapporto tra la forza che il fluido esercita sulla superficie e il quadrato della superficie stessa.,È la forza che il fluido stesso esercita sull’ unità di superficie.,3
2024,La pressione di un fluido in movimento all'interno di un tubo di flusso è la somma di:,pressione dinamica e peso del fluido.,pressione dinamica e pressione statica.,pressione statica e portata del tubo di flusso.,2
2025,Che cosa è la pressione statica di un fluido?,È il rapporto tra peso e velocità del fluido.,È il rapporto tra peso e densità del fluido.,È il peso della colonna di fluido che insiste sull’unità di superficie.,3
2026,Che cosa è la pressione dinamica di un fluido?,È il rapporto tra la velocità di un fluido in movimento e la sua densità.,È il rapporto tra la velocità di un fluido in movimento e la superficie del solido immerso in esso.,È la pressione che un fluido esercita sulla superficie di un solido immerso in esso per effetto della velocità di scorrimento.,3
2027,"Che cosa rappresenta l'espressione ""1/2 ρ V 2 ""?",La densità dell'aria ad una certa velocità.,"La pressione statica di un fluido la cui densità è pari a ""ρ"".","La pressione dinamica di un fluido la cui densità è pari a ""ρ"" e la cui velocità è pari a ""V"".",3
2028,La portanza e la resistenza sono direttamente proporzionali:,alla pressione statica.,alla pressione dinamica.,alla pressione totale.,2
2029,"I filetti fluidi che incontrano un profilo alare generando portanza, con quale principale differenza scorrono sulle superfici?",Differenza di velocità.,Differenza di densità.,Differenza molecolare.,1
2030,La velocità dell’aria su un’ala in volo è:,maggiore sull'estradosso.,maggiore sull'intradosso.,identica sulle due superfici dell'ala.,1
2031,Un profilo in volo genera una pressione dinamica:,maggiore sull'estradosso.,minore sull'estradosso.,identica sulle due superfici dell'ala.,1
2032,Un profilo in volo genera una pressione statica:,identica sulle due superfici dell'ala.,maggiore sull'estradosso.,minore sull'estradosso.,3
2033,La legge di Bernoully dice:,che la somma della pressione statica e dinamica del fluido non è costante.,che la somma della pressione statica e dinamica del fluido è costante.,che l'andamento della pressione statica del fluido non dipende da quello della pressione dinamica dello stesso.,2
2034,Che cosa mette in evidenza la legge di Bernoully in un tubo di Venturi a portata costante?,"Che variando la sezione del tubo, pressione e velocità del fluido rimangono invariate.","Che variando la sezione del tubo, varia solo la pressione dinamica del fluido.","Che variando la sezione del tubo variano velocità, pressione statica e pressione dinamica. La pressione totale non varia.",3
2035,"In un tubo di Venturi avente portata costante, al variare della sezione:",la velocità del fluido varia.,la velocità del fluido non varia.,la pressione totale del fluido varia.,1
2036,In un tubo di Venturi avente portata costante la somma della pressione statica e della pressione dinamica del fluido (pressione totale):,è variabile al variare della sezione.,è costante al variare della sezione.,dipende dalla densità del fluido.,2
2037,"All'interno di un tubo di flusso a portata costante, se la sezione diminuisce:",la velocità del fluido aumenta e la sua pressione dinamica diminuisce.,la velocità del fluido aumenta e la sua pressione dinamica aumenta.,la velocità del fluido aumenta e quindi la pressione totale varia.,2
2038,All'interno di un tubo di flusso a portata costante dove la sezione aumenta:,la velocità del fluido diminuisce e la sua pressione statica aumenta.,la velocità del fluido diminuisce e la sua pressione statica diminuisce.,la velocità del fluido diminuisce e quindi la pressione totale varia.,1
2039,L'ala di un deltaplano o di un parapendio utilizza il principio di Bernoully applicato a un tubo Venturi?,"Si, ma non nel volo in termica.",Si.,No.,2
2040,I profili del deltaplano e del parapendio sono principalmente di tipo:,biconvesso simmetrico.,piano-convesso.,concavo-convesso o biconvesso.,3
2041,Che cosa è la risultante aerodinamica?,È la risultante di tutte le forze prodotte dall'ala in movimento rispetto all'aria.,È la risultante o somma vettoriale del peso e della portanza.,È una forza sempre diretta perpendicolarmente alla traiettoria di volo.,1
2042,La risultante aerodinamica è una forza:,perpendicolare alla traiettoria di volo o al vento relativo.,sempre parallela alla traiettoria di volo o al vento relativo.,diretta verso l'alto e per questo in grado di contrastare la forza peso.,3
2043,La risultante aerodinamica si scompone in portanza e resistenza. Esse sono rispettivamente:,la portanza perpendicolare alla corda alare e la resistenza parallela alla corda alare.,"la portanza perpendicolare alla traiettoria di volo od alla direzione del vento relativo, la resistenza parallela ad esse.","la portanza parallela al vento relativo od alla traiettoria di volo, la resistenza perpendicolare ad essi.",2
2044,"Se un profilo alare è investito da un vento relativo, si può sempre affermare che:",si genera portanza.,non si genera portanza senza che si generi resistenza.,la resistenza generata dipende unicamente dalla forma del profilo.,2
2045,Nel volo del deltaplano e del parapendio:,la resistenza è uguale e opposta alla velocità sulla traiettoria.,"la resistenza a velocità costante, è uguale e opposta alla componente del peso lungo la traiettoria.",la portanza e la resistenza si equilibrano.,2
2046,La resistenza è una forza aerodinamica che può essere considerata:,sempre perpendicolare alla traiettoria di volo.,sempre parallela alla corda aerodinamica.,sempre parallela alla traiettoria di volo o alla direzione del vento relativo.,3
2047,Qual è la formula della resistenza?,R = 1/2 ρ S Cr V2,R = 1/2 ρ S2 Cr V,R = 1/2 ρ S Cr V,1
2048,In quale modo varia la resistenza aerodinamica di un'ala variando la densità dell'aria e la superficie dell'ala stessa?,Non varia in alcun modo.,Varia proporzionalmente.,Varia in modo inversamente proporzionale.,2
2049,Di quanto varia la resistenza aerodinamica di un profilo alare triplicandone la velocità:,del triplo.,non varia.,diviene nove volte più grande.,3
2050,Che cosa è il Cr?,Un coefficiente numerico che dipende dal carico alare.,Un coefficiente numerico che dipende dalla forma del profilo e dalla sua incidenza di volo.,Una forza che dipende dalla forma del profilo e dalla sua incidenza di volo.,2
2051,Da quali tipi di resistenza è composta la resistenza aerodinamica di un'ala di deltaplano o parapendio?,"Dalla resistenza di attrito, da quella di forma e da quella indotta.",Dalla resistenza di forma e da quella indotta.,Dalla resistenza di attrito e da quella di forma.,1
2052,Che cosa è la resistenza di forma?,È la parte di resistenza dovuta alla forma più o meno aerodinamica di un corpo.,È la parte di resistenza dovuta alle dimensioni del corpo indipendentemente dalla forma aerodinamica dello stesso.,È una forza il cui valore può essere nullo se la forma del corpo è molto aerodinamica.,1
2053,Su quale tipo di resistenza influisce principalmente lo spessore del profilo alare?,Sulla resistenza di attrito.,Sulla resistenza indotta.,Sulla resistenza di forma.,3
2054,La resistenza di forma:,aumenta all'aumentare della velocità.,diminuisce all'aumentare della velocità.,non varia al variare della velocità.,1
2055,Che cosa è la resistenza di attrito?,È la parte di resistenza dovuta alle dimensioni dell'ala.,È la parte di resistenza dovuta all'attrito dell'aria sulla superficie dell'ala.,È la parte di resistenza dovuta alla presenza inevitabile dei vortici marginali.,2
2056,Che cosa s’intende per strato limite?,Lo strato d'aria compreso tra superficie alare e superficie interna del tubo di flusso in cui vola l'ala.,Lo strato d'aria immediatamente esterno al tubo di flusso in cui è immersa l'ala.,Lo strato d'aria più prossimo all'ala compreso tra la superficie alare e lo strato nel quale la velocità del vento relativo è quella di regime.,3
2057,La resistenza d'attrito:,dipende anche dalla natura dello strato limite.,non dipende dalla natura dello strato limite.,dipende dalla forma e dalle dimensioni dell'ala.,1
2058,Come varia la resistenza d'attrito al variare della velocità?,Aumenta al diminuire della velocità.,Aumenta all'aumentare della velocità.,Rimane costante al variare della velocità.,2
2059,Che cosa è la resistenza indotta?,È la parte di resistenza dovuta al prodursi dei vortici marginali o d'estremità alare.,È la parte di resistenza dovuta all'attrito dell'aria sulla superficie alare.,È la parte di resistenza dovuta alla forma e alle dimensioni dell'ala.,1
2060,La resistenza indotta è originata:,dall'attrito dell'aria sulla superficie alare che produce i vortici marginali.,dallo spessore più o meno rilevante dell'ala che oltre certi valori produce vortici marginali.,dalla differenza di pressione statica sotto e sopra l'ala.,3
2061,E' vero che la resistenza indotta dipende dall'allungamento alare?,Si e da nessun altro parametro o fattore.,"Si, anche da esso ed è minore quando è maggiore l'allungamento.",No.,2
2062,La resistenza indotta varia al variare della velocità?,"Si, aumenta all'aumentare della velocità.",No.,"Si, diminuisce all'aumentare della velocità.",3
2063,A parità di altre condizioni un'ala con allungamento maggiore:,è più efficiente.,è meno efficiente.,è più resistente.,1
2064,Lo scopo principale per cui si tende ad aumentare l'allungamento è:,ottenere minore resistenza di forma.,ottenere minore resistenza d'attrito.,ottenere minore resistenza indotta.,3
2065,L'unica resistenza che diminuisce all'aumentare della velocità è:,quella d'attrito.,quella indotta.,quella di forma.,2
2066,In che modo la resistenza aerodinamica è proporzionale alla velocità?,Direttamente.,Inversamente.,Direttamente e al quadrato della stessa.,3
2067,Diminuendo la resistenza aerodinamica di un profilo a parità di altre condizioni si ottiene:,un miglioramento delle prestazioni con una maggiore efficienza.,solo una maggiore velocità massima.,solo un minor tasso minimo di caduta.,1
2068,La resistenza aerodinamica varia al variare dell'angolo d'incidenza?,No.,"Si, ma solo in virata.",Si.,3
2069,Si può diminuire la resistenza aerodinamica sino a ridurla a zero in volo?,"Si, variando opportunamente l'angolo d'incidenza","Si, in almeno due modi",No,3
2070,Adottando un profilo sottilissimo:,la resistenza assume valore zero con incidenza zero.,la resistenza non si annulla comunque.,la resistenza si annulla se la superficie alare è perfettamente levigata.,2
2071,Che cos'è la portanza?,"È una forza ed è la componente della risultante aerodinamica, parallela alla direzione del vento relativo o alla traiettoria di volo.",È una forza ed è la componente orizzontale della risultante aerodinamica.,È una forza ed è la componente della risultante aerodinamica perpendicolare alla traiettoria di volo o alla direzione del vento relativo.,3
2072,"La portanza, in un profilo convenzionale, è generata prevalentemente:",dalla diminuzione di pressione statica in corrispondenza dell'estradosso.,dalla diminuzione di pressione dinamica in corrispondenza dell'estradosso.,dall'aumento di pressione statica sull'estradosso.,1
2073,La portanza di un'ala dipende:,"dal suo disegno, dalla densità dell'aria, dalla superficie alare, dalla velocità con cui si muove e dalla sua incidenza.",dal suo disegno e dall'incidenza solamente.,dall'incidenza solamente.,1
2074,Qual è la formula della portanza?,P = 1/2 ρ S2 Cp V,P = 1/2 ρ S Cp V2,P = 1/2 ρ S Cp V,2
2075,Nella formula della portanza il fattore Cp detto coefficiente di portanza è:,una forza perpendicolare alla traiettoria di volo o alla direzione del vento relativo.,una velocità che dipende dall'incidenza del profilo.,un fattore numerico che dipende dal disegno e dall'incidenza del profilo.,3
2076,Lo spessore del profilo influisce normalmente sul valore della portanza e della resistenza che esso genera?,"Si, la portanza mediamente aumenta mentre la resistenza diminuisce con l'aumentare dello spessore.","Si, portanza e resistenza aumentano a parità di altre condizioni con l'aumentare dello spessore.","Si, la portanza diminuisce mentre la resistenza mediamente aumenta con l'aumentare dello spessore.",2
2077,La portanza e la resistenza dipendono anche dalla densità dell'aria?,Si.,No.,Non sempre.,1
2078,Che cosa è l'angolo d'incidenza?,È l'angolo compreso tra la corda alare e la direzione del vento relativo o traiettoria di volo.,È l'angolo compreso tra la corda alare e il piano orizzontale passante per il centro di pressione.,È l'angolo compreso tra la corda alare e la direzione del vento meteorologico quando l'ala è in movimento.,1
2079,L'assetto di un profilo rappresenta un'entità angolare ben distinta dall'incidenza. Esso è per definizione:,l'angolo compreso tra la corda alare ed il piano orizzontale.,l'angolo compreso tra la corda alare e la direzione del vento relativo o traiettoria di volo.,l'angolo compreso tra la direzione del vento relativo o traiettoria di volo ed il piano orizzontale.,1
2080,Se un profilo alare vola con un assetto di +6° e un’incidenza di +10° la sua traiettoria è:,ascendente e inclinata verso l'alto rispetto al piano orizzontale di 4°.,discendente e inclinata verso il basso rispetto al piano orizzontale di 4°.,orizzontale.,2
2081,In volo incidenza e assetto di un profilo coinciderebbero:,qualora la traiettoria di volo fosse orizzontale in aria calma.,qualora la traiettoria di volo fosse orizzontale.,qualora la traiettoria di volo fosse curvilinea.,1
2082,Perché nella formula della resistenza R = 1/2 ϱ Cr S V2 non compare l'angolo d'incidenza al cui variare varia la resistenza stessa?,Perché al variare dell'incidenza varia la sola superficie proiettata.,Perché un'altra formula lega incidenza e resistenza aerodinamica.,Perché al variare dell'incidenza varia il Cr.,3
2083,Per aumentare la portanza di un certo profilo alare è sufficiente aumentare l'angolo d'incidenza?,"Si, senza alcuna limitazione.","Si, da zero a venti gradi.","Si, ma entro ben precisi limiti.",3
2084,Variando l'incidenza di un profilo la portanza:,varia.,non varia.,varia mentre la resistenza non varia.,1
2085,Perché nella formula della portanza P = 1/2 ϱ Cp S V2 non compare l'angolo d'incidenza al cui variare varia la portanza stessa?,Perché al variare dell'incidenza varia la sola superficie proiettata.,Perché un'altra formula lega incidenza e portanza.,Perché al variare dell'incidenza varia il Cp.,3
2086,Come può in volo il pilota variare la portanza?,Diminuendo la resistenza aerodinamica.,Variando l'angolo d'incidenza entro certi limiti.,Mantenendo lo stesso angolo di assetto.,2
2087,"Il peso del sistema ala-pilota, cui durante il volo si oppone la risultante aerodinamica, è una forza verticale diretta verso il basso, che si scompone in:",trazione nella direzione della traiettoria di volo e peso apparente perpendicolarmente alla stessa.,trazione perpendicolarmente alla traiettoria di volo e peso apparente nella direzione della stessa.,trazione nella direzione della traiettoria di volo e peso apparente in direzione opposta.,1
2088,L'energia motrice nel volo in deltaplano e parapendio è fornita:,da forze di natura aerodinamica.,dalla forza peso.,dall'inerzia cinetica.,2
2089,Come si chiama l'energia sfruttata dal sistema ala pilota in volo planato?,Energia termica.,Energia endotermica.,Energia potenziale.,3
